"dest","origin","n_jointpath"
"BUR","PDX",14390
"PNS","DFW",14373
"EVV","ORD",14344
"ABQ","MCI",14336
"DFW","PNS",14324
"MSP","CID",14313
"ABQ","ATL",14309
"ORD","EVV",14282
"ROC","DCA",14281
"EWR","BTV",14280
"DCA","DAY",14275
"ROC","BWI",14252
"ATL","ABQ",14245
"MSP","GTF",14224
"STL","JAX",14190
"DTW","JAX",14182
"CID","MSP",14182
"TPA","TLH",14181
"GTF","MSP",14176
"JAX","DTW",14166
"SFO","LGB",14126
"OKC","TUL",14124
"AUS","MAF",14110
"BTV","EWR",14088
"TLH","TPA",14061
"MAF","HOU",14054
"ATL","SNA",14050
"DAY","DCA",14045
"PIT","ELM",14036
"SLC","OMA",14012
"OMA","SLC",14012
"MAF","AUS",13999
"BOS","PHX",13984
"ANC","OME",13983
"TVC","ORD",13972
"MHT","DTW",13971
"PHX","BOS",13947
"EWR","SAN",13938
"DTW","MHT",13935
"ORD","SGF",13927
"ORD","TVC",13920
"SAT","AUS",13901
"MSP","ANC",13884
"ELP","MAF",13856
"MEM","ICT",13854
"ANC","MSP",13852
"LAS","BNA",13843
"BOS","MEM",13805
"SAN","EWR",13798
"BNA","LAS",13796
"PBI","PIT",13796
"CLE","SFO",13790
"LAS","AUS",13786
"DET","MDW",13780
"AUS","LAS",13780
"PIT","PBI",13752
"ROC","IAD",13743
"BHM","ORD",13736
"ICT","MEM",13714
"MDW","DET",13712
"STL","COS",13700
"IAH","SJC",13696
"SFO","CLE",13683
"SJC","IAH",13676
"IAD","MSY",13636
"LGB","SFO",13613
"SGF","ORD",13576
"MHT","PIT",13573
"LBB","ABQ",13559
"DFW","HRL",13555
"RSW","STL",13539
"AUS","STL",13530
"STL","AUS",13519
"OTZ","ANC",13502
"JAX","STL",13502
"MSY","IAD",13479
"PDX","EUG",13473
"COS","STL",13468
"PIT","MSY",13449
"SYR","CVG",13387
"MSY","LGA",13386
"ELM","PIT",13378
"LGA","MSY",13376
"PHL","BWI",13319
"PHX","YUM",13318
"AUS","SJC",13314
"SJC","AUS",13303
"MSY","PIT",13295
"PHX","ICT",13283
"CVG","SYR",13272
"YUM","PHX",13230
"LAS","CVG",13226
"PVD","MDW",13220
"ICT","PHX",13211
"STL","SJC",13185
"PWM","CVG",13177
"CVG","PWM",13164
"MKE","PHX",13162
"HRL","DFW",13160
"RSW","SRQ",13156
"PHX","MKE",13132
"SDF","IAH",13128
"BOS","ORF",13123
"SDF","BHM",13114
"ATL","MLU",13097
"ABQ","MAF",13093
"ORF","BOS",13092
"IAD","ORF",13058
"MDW","PVD",13036
"BHM","SDF",13035
"DTW","HOU",13027
"EWR","SRQ",13022
"CPR","SLC",13008
"SLC","CPR",12985
"PHL","DAY",12978
"ORF","IAD",12973
"STL","LNK",12940
"ELP","SAN",12939
"CLD","LAX",12939
"MEM","BOS",12939
"LAX","CLD",12935
"DEN","CID",12915
"DEN","PSP",12909
"HOU","MAF",12894
"IAH","SDF",12893
"RDU","CLE",12892
"MDW","FLL",12859
"LBB","ELP",12852
"PSP","DEN",12839
"ONT","PDX",12835
"LAX","ONT",12833
"HOU","DTW",12830
"FLL","MDW",12828
"FAT","DEN",12825
"SJC","STL",12823
"SRQ","EWR",12820
"RSW","JFK",12814
"MLU","ATL",12806
"CLE","RDU",12773
"MSP","BZN",12768
"TUL","SLC",12762
"IND","LAX",12760
"ONT","LAX",12759
"BZN","MSP",12744
"MDW","ISP",12743
"TOL","ATL",12730
"MSP","ONT",12700
"ATL","TOL",12686
"LNK","STL",12686
"SLC","TUL",12669
"DEN","FAT",12669
"SFO","MEM",12666
"PIT","PWM",12663
"FLL","BDL",12658
"PIT","BTV",12656
"ORD","BHM",12642
"BUF","CVG",12637
"IAD","LAS",12633
"ORD","MLI",12631
"PDX","ONT",12630
"JFK","RSW",12625
"EUG","PDX",12620
"RDU","ORF",12619
"ISP","MDW",12619
"CVG","BUF",12614
"TYS","CVG",12614
"LAS","IAD",12589
"MLU","SHV",12579
"BDL","FLL",12541
"DEN","EUG",12523
"DEN","BZN",12520
"CID","DEN",12504
"EUG","DEN",12490
"IAD","PHX",12489
"LIT","CVG",12488
"ISP","FLL",12467
"MDT","ABE",12459
"FLL","ISP",12457
"STL","ONT",12418
"DFW","MLU",12407
"SLC","FAT",12383
"JAX","MIA",12382
"BZN","DEN",12373
"MDW","HOU",12356
"IAD","CHS",12353
"MIA","JAX",12347
"MEM","SFO",12346
"IAD","SJU",12345
"CHS","IAD",12330
"CVG","LIT",12319
"RAP","DEN",12312
"LAX","IND",12301
"HOU","MDW",12280
"PDX","IAH",12271
"DEN","RAP",12268
"TWF","SLC",12243
"PHX","IAD",12237
"MSP","SDF",12226
"GSP","ORD",12214
"IAH","PDX",12200
"ONT","MSP",12172
"LAS","CLT",12166
"PIT","RSW",12154
"MEM","HOU",12150
"DFW","MOB",12142
"CLT","LAS",12127
"ORF","RDU",12111
"SLC","TWF",12099
"MLI","ORD",12089
"GTF","MSO",12087
"DAY","PHL",12084
"SJU","FLL",12064
"FLL","SJU",12050
"MSP","RDU",12038
"MEM","SEA",12033
"ORD","GSP",12028
"SDF","MSP",12027
"IAD","MHT",12007
"HOU","MEM",12000
"RDU","MSP",12000
"EWR","MHT",11997
"MHT","IAD",11980
"DCA","MSY",11978
"SJU","STT",11947
"PHX","MCO",11927
"MOB","DFW",11927
"RSW","PIT",11918
"SEA","MEM",11909
"MCO","PHX",11908
"MSY","DCA",11888
"PIT","SBN",11887
"SBN","PIT",11881
"CMH","DEN",11856
"DCA","PHL",11829
"ABQ","HOU",11827
"BOI","MSP",11825
"MSP","BOI",11824
"STT","MIA",11819
"RDD","SFO",11816
"BMI","ORD",11791
"DAY","MSP",11788
"BWI","PHL",11785
"LAS","FAT",11777
"GSO","IAH",11764
"FLL","CLE",11753
"GPT","MEM",11751
"ORD","BMI",11745
"MSP","ABQ",11741
"JFK","DEN",11725
"FAT","LAS",11723
"DEN","ELP",11721
"FLL","MIA",11714
"CLE","PVD",11704
"ORD","GEG",11702
"MHT","EWR",11699
"DEN","CMH",11690
"ABQ","MSP",11682
"PVD","CLE",11678
"SLC","SAT",11674
"SFO","RDD",11656
"JFK","OAK",11654
"OAK","JFK",11646
"JFK","SYR",11646
"MOB","BTR",11639
"KOA","LAX",11629
"DEN","JFK",11622
"LRD","DFW",11615
"LAX","SNA",11613
"LAX","KOA",11611
"BUF","IAD",11610
"CID","DFW",11589
"ELP","DEN",11582
"MTJ","DEN",11579
"DFW","LRD",11579
"ORD","PSP",11575
"TOL","ORD",11567
"DFW","CID",11551
"DEN","MTJ",11545
"BWI","SFO",11543
"ORD","TOL",11540
"HOU","ABQ",11540
"GSO","BWI",11535
"LAS","BOI",11528
"BOI","LAS",11527
"CLE","FLL",11525
"ORD","BOI",11515
"BOI","ORD",11462
"ABE","MDT",11451
"GSO","DTW",11448
"TUL","OKC",11440
"PSP","ORD",11437
"DTW","GSO",11423
"IAH","GSO",11415
"BWI","GSO",11397
"SMX","LAX",11390
"SYR","JFK",11355
"MSP","DAY",11351
"LAX","SMX",11348
"ONT","ATL",11347
"GEG","ORD",11345
"CLT","HSV",11343
"HSV","CLT",11331
"DAY","CVG",11326
"ATL","ONT",11319
"IAD","CVG",11317
"MKE","DEN",11316
"DEN","MKE",11305
"CVG","HOU",11298
"HOU","CVG",11296
"SJU","IAD",11270
"PHL","DCA",11262
"MIA","EYW",11253
"LAX","BFL",11250
"MHT","MCO",11237
"BFL","LAX",11234
"MEM","GPT",11232
"CVG","IAD",11228
"MCO","MHT",11223
"EYW","MIA",11222
"ILE","DFW",11216
"ILM","ATL",11212
"BHM","JAN",11204
"DFW","FAT",11188
"CLT","MKE",11176
"DEN","SBA",11175
"ORD","CAK",11164
"DFW","ILE",11163
"SLC","EWR",11146
"EWR","SLC",11135
"BOS","BNA",11131
"OAK","MDW",11130
"JFK","BWI",11126
"MDW","RDU",11119
"ATL","ILM",11110
"MKE","DFW",11099
"DFW","MKE",11092
"PBI","BDL",11069
"BNA","BOS",11062
"MDW","OAK",11061
"CLT","DAB",11049
"BWI","JFK",11046
"SAT","CVG",11042
"SNA","LAX",11040
"BDL","PBI",11036
"RDU","MDW",11028
"CVG","DAY",11027
"MKE","CLT",11026
"FAT","DFW",11025
"CVG","SAT",10965
"DAB","CLT",10948
"MEM","JAN",10943
"CAK","ORD",10905
"BWI","SJU",10897
"PWM","IAD",10879
"PDX","STL",10877
"CAE","IAD",10863
"CMH","IND",10852
"CLT","TLH",10834
"PIT","ISP",10825
"IAD","PWM",10823
"JAN","MEM",10818
"ORF","RIC",10818
"SLC","PIH",10812
"FAY","ATL",10810
"STL","PDX",10808
"JAN","CVG",10806
"CVG","JAN",10798
"ORD","ISP",10798
"PIH","SLC",10797
"TUS","ABQ",10789
"XNA","ATL",10770
"PVD","CVG",10753
"SFO","ABQ",10747
"PHL","SEA",10722
"TLH","CLT",10711
"CVG","PVD",10702
"CLT","SJU",10677
"IAD","BUF",10677
"EWR","SNA",10661
"ATL","FAY",10651
"ONT","STL",10643
"SBA","DEN",10614
"CLT","SYR",10610
"SEA","PHL",10606
"SGF","DEN",10585
"SYR","CLT",10570
"JAX","IAD",10561
"GPT","IAH",10560
"IAD","JAX",10547
"SJU","BWI",10542
"LIT","ORD",10542
"IAH","GPT",10537
"IAH","MOB",10537
"ORD","LIT",10532
"LGA","MCI",10518
"MDW","MHT",10516
"ATL","XNA",10508
"MKE","IAH",10494
"MOB","IAH",10478
"DEN","JAC",10466
"MHT","MDW",10460
"IAH","MKE",10460
"OME","OTZ",10448
"MSP","RNO",10441
"ISP","ORD",10440
"MCI","LGA",10435
"RNO","MSP",10431
"BRW","FAI",10430
"CVG","FWA",10393
"DEN","BIS",10392
"EWR","DAB",10388
"LAS","PSP",10380
"IND","CMH",10378
"FWA","CVG",10361
"SNA","EWR",10340
"ITH","PIT",10338
"LAX","HOU",10327
"TPA","LAS",10320
"DAB","EWR",10318
"RNO","FAT",10318
"JAC","DEN",10312
"BWI","HOU",10303
"LAS","TPA",10291
"PWM","LGA",10290
"EKO","SLC",10287
"BWI","MSY",10282
"PWM","PIT",10280
"ALB","MCO",10277
"MSY","BWI",10273
"OME","ANC",10269
"MCO","ALB",10268
"HOU","LAX",10265
"MSY","MSP",10260
"RSW","IAH",10259
"MSP","MSY",10258
"PSP","PHX",10257
"HOU","BWI",10246
"LIT","IAH",10246
"PHX","PSP",10240
"LGA","PWM",10232
"SLC","EKO",10232
"DHN","ATL",10232
"SFO","SBP",10226
"SBP","SFO",10225
"RDM","PDX",10219
"CLE","RSW",10219
"STL","FSD",10216
"PDX","RDM",10211
"IAH","LIT",10207
"ATL","DHN",10198
"GJT","SLC",10197
"IAD","CAE",10177
"JFK","MSY",10176
"DRO","DEN",10174
"IND","MCI",10171
"JAN","BHM",10170
"SJU","CLT",10161
"MLI","ATL",10159
"SLC","GJT",10148
"DEN","DRO",10144
"BOS","SYR",10136
"PSP","LAS",10132
"CLT","ROC",10117
"SYR","BOS",10103
"BTV","PIT",10095
"ABQ","SFO",10088
"LEX","ORD",10080
"DAL","MCI",10075
"MCI","DAL",10074
"ORD","LEX",10070
"ATL","MLI",10059
"PVD","TPA",10057
"MSY","JFK",10057
"MCI","IND",10053
"LBB","IAH",10049
"PIT","TYS",10042
"IAH","LBB",10037
"CHS","EWR",10037
"SRQ","DTW",10032
"IAD","SAV",10031
"ROC","CLT",10021
"TLH","MIA",10021
"MEM","OMA",10017
"ISP","PIT",10008
"GSO","DCA",10007
"BIS","DEN",9998
"MEM","SDF",9991
"BNA","AUS",9981
"RDU","FLL",9980
"MSP","TUS",9979
"BOS","SEA",9954
"SEA","FAI",9950
"COS","MSP",9949
"TXK","DFW",9932
"MSP","COS",9927
"SAV","IAD",9925
"GUM","SPN",9924
"SEA","BOS",9919
"BOS","SJC",9916
"PIT","CAK",9912
"TUS","MSP",9908
"DFW","TXK",9904
"FAI","SEA",9903
"AUS","BNA",9900
"OMA","MEM",9883
"FLL","RDU",9878
"CAK","PIT",9876
"ASE","DEN",9861
"DEN","CPR",9858
"ORD","HSV",9856
"DCA","GSO",9854
"TPA","PVD",9851
"CPR","DEN",9838
"GSP","DFW",9838
"SDF","MEM",9835
"CLT","ALB",9825
"DEN","ASE",9825
"ABQ","TUS",9822
"RSW","CLE",9814
"EWR","CHS",9812
"ROA","ATL",9802
"DFW","GSP",9802
"SFO","BWI",9799
"PIT","ITH",9786
"FWA","ATL",9764
"HPN","ATL",9755
"MEM","PHX",9745
"HOU","BHM",9723
"BHM","HOU",9722
"BNA","CMH",9719
"ALB","CLT",9712
"DBQ","ORD",9709
"CRW","ATL",9704
"DTW","SRQ",9700
"ORD","DBQ",9676
"PHX","MEM",9654
"ORD","CHS",9654
"TYS","PIT",9652
"RAP","SLC",9634
"ATL","HPN",9625
"SLC","RAP",9620
"BHM","TPA",9616
"ATL","FWA",9613
"ANC","ADQ",9612
"CMH","BNA",9611
"DEN","SGF",9610
"SAN","MDW",9606
"MDW","SAN",9605
"MIA","TLH",9599
"MIA","STT",9594
"TPA","BHM",9591
"STT","ATL",9590
"ATL","CRW",9568
"ATL","ROA",9561
"RNO","ORD",9540
"GGG","DFW",9536
"CAE","CVG",9532
"BNA","SAN",9527
"DFW","GGG",9518
"STT","SJU",9510
"ADQ","ANC",9504
"CLT","CRW",9504
"KOA","SFO",9496
"IAD","PVD",9485
"RIC","BWI",9484
"PVD","IAD",9481
"BOS","RIC",9477
"ANC","OTZ",9476
"DFW","SAV",9471
"SAN","BNA",9464
"MFR","PDX",9454
"DEN","HOU",9440
"JFK","CLT",9432
"CHS","ORD",9427
"LSE","ORD",9424
"RIC","BOS",9422
"ANC","PDX",9422
"CLT","JFK",9409
"PDX","ANC",9407
"ORD","LSE",9396
"SHV","MLU",9388
"CVG","CAE",9387
"HOU","DEN",9382
"ROC","CVG",9373
"BWI","RIC",9372
"ORD","RNO",9359
"BHM","MDW",9357
"STT","JFK",9352
"SWF","ATL",9347
"ATL","SWF",9339
"SFO","KOA",9338
"EWR","MKE",9329
"SLC","BUR",9319
"MIA","STX",9305
"BUR","SLC",9301
"FLL","LAX",9298
"MKE","EWR",9295
"MDW","BHM",9292
"FAI","BRW",9287
"LGA","GSP",9287
"LAX","FLL",9286
"OXR","LAX",9279
"CLE","SDF",9278
"FSD","STL",9270
"LAX","OXR",9264
"DCA","SDF",9261
"CVG","ROC",9250
"SAV","DFW",9236
"SMF","ATL",9199
"SAN","PHL",9199
"PHL","SAN",9195
"RSW","MSP",9195
"MSP","RSW",9191
"ORD","CAE",9190
"IAH","SHV",9177
"SLC","MSY",9173
"ATL","SMF",9170
"SHV","IAH",9165
"SJC","ATL",9148
"MSY","SLC",9144
"ATL","SJC",9129
"GSP","LGA",9105
"IAH","RSW",9096
"SDF","CLE",9088
"BMI","ATL",9082
"MEM","HSV",9082
"JFK","MSP",9078
"SJC","BOS",9078
"LAS","MCO",9077
"MCO","LAS",9062
"PWM","ATL",9061
"MSP","HOU",9031
"CHS","LGA",8998
"CLT","MLB",8987
"MDW","SEA",8987
"SAT","BNA",8981
"KTN","JNU",8973
"LGA","CHS",8972
"CRW","CLT",8966
"MSP","JFK",8964
"ATL","BMI",8960
"SEA","MDW",8960
"BWI","RSW",8954
"HOU","MSP",8951
"COS","LAX",8945
"HSV","MEM",8935
"LAX","COS",8932
"JAN","IAH",8926
"RSW","BWI",8922
"IAH","JAN",8915
"ATL","PWM",8903
"MLB","CLT",8898
"MSY","PHX",8894
"PHX","MSY",8875
"HSV","ORD",8866
"MCO","SRQ",8860
"RDU","JAX",8853
"BHM","HSV",8847
"SRQ","CVG",8830
"MCO","TLH",8823
"ORF","IAH",8823
"BTV","JFK",8822
"ABQ","CVG",8819
"IAH","ORF",8818
"CVG","ABQ",8789
"JAX","RDU",8786
"SRQ","MCO",8783
"JFK","BTV",8777
"SDF","DCA",8767
"IAH","ICT",8737
"PDX","MFR",8731
"ICT","IAH",8712
"DCA","JAX",8709
"JAX","DCA",8686
"GRR","ATL",8682
"PHL","SLC",8651
"SLC","PHL",8645
"SEA","CLT",8643
"BNA","SAT",8641
"SDF","MCO",8640
"MOD","SFO",8639
"CLT","SEA",8639
"MCO","SDF",8638
"ATL","STT",8634
"TOL","CVG",8619
"SFO","MOD",8612
"SCC","ANC",8610
"FAR","DEN",8605
"CAE","ORD",8594
"PBI","FLL",8585
"ATL","GRR",8580
"CVG","TOL",8572
"IAD","OAK",8547
"OAK","IAD",8544
"JFK","IAH",8542
"DEN","FAR",8528
"PIT","HTS",8521
"SIT","KTN",8514
"JAX","ORF",8489
"XNA","IAH",8483
"CVG","AUS",8473
"IAH","XNA",8471
"IAD","GSP",8453
"AUS","CVG",8449
"STL","DAL",8444
"EWR","CAE",8432
"MDW","IAD",8427
"IAH","JFK",8419
"IAD","MDW",8410
"DCA","CHS",8408
"DAL","STL",8402
"VPS","DFW",8372
"MEM","CLE",8366
"AUS","MSP",8360
"GSP","IAD",8350
"CLE","MEM",8345
"KTN","SIT",8342
"MSP","AUS",8340
"BUF","MCO",8339
"MCO","BUF",8323
"OKC","CVG",8314
"CVG","OKC",8285
"DFW","VPS",8273
"ORF","JAX",8271
"BDL","SJU",8263
"MIA","LAS",8259
"ALB","CLE",8248
"SJU","BDL",8241
"LAS","MIA",8239
"CAE","EWR",8228
"CLE","ALB",8206
"ANC","SCC",8205
"LGA","DAY",8204
"JNU","KTN",8204
"CHS","DCA",8202
"ISP","TPA",8192
"LAS","LGB",8188
"MDW","JAN",8183
"JAN","MDW",8174
"ABQ","OAK",8158
"TPA","ISP",8156
"TPA","PHX",8147
"JAN","BWI",8142
"DAY","DTW",8140
"DAY","LGA",8136
"BWI","SYR",8133
"BNA","FLL",8127
"OAK","ABQ",8122
"RDU","PHX",8119
"PHX","TPA",8118
"PHX","RDU",8116
"HOU","LGA",8115
"SPN","GUM",8112
"MAF","ABQ",8110
"GSP","CVG",8106
"BWI","JAN",8104
"DTW","DAY",8102
"CVG","SRQ",8082
"FLL","BNA",8080
"SMF","IAH",8073
"MCO","BHM",8068
"IAH","SMF",8067
"HSV","BHM",8059
"MEM","LAS",8044
"BNA","HSV",8043
"BHM","MCO",8035
"LGA","HOU",8033
"LGB","LAS",8027
"TLH","MCO",8027
"SLC","LGB",8017
"CLE","SYR",8015
"LGB","SLC",8014
"OAK","MCI",7967
"MCI","OAK",7950
"LAS","MEM",7940
"SDF","LEX",7936
"BDL","MDW",7925
"ORD","ANC",7920
"BNA","LIT",7907
"PIT","ROA",7902
"LEX","SDF",7897
"ANC","ORD",7894
"COS","ATL",7886
"ORD","FAR",7882
"CAK","CVG",7876
"AVP","ATL",7875
"SYR","BWI",7868
"MHT","ATL",7865
"SJU","TPA",7861
"TPA","SJU",7859
"HSV","BNA",7842
"IAH","HOU",7840
"RDU","PBI",7837
"CVG","CAK",7837
"ATL","COS",7820
"FAR","ORD",7806
"LIH","LAX",7805
"LCH","IAH",7798
"ATL","MHT",7798
"LIT","BNA",7797
"MDW","BDL",7792
"CVG","GSP",7789
"IAH","LCH",7789
"LAX","LIH",7783
"CLT","OAJ",7782
"HOU","IAH",7776
"ATL","ABY",7775
"SAN","CLT",7733
"PBI","RDU",7733
"ABY","ATL",7730
"MDT","CVG",7723
"ATL","EVV",7705
"CLT","SAN",7702
"OAJ","CLT",7700
"FAT","RNO",7698
"RSW","LGA",7693
"CVG","MDT",7679
"MHT","CLE",7676
"SYR","CLE",7664
"BTV","IAD",7637
"BNA","MKE",7636
"SMF","STL",7606
"STL","SMF",7599
"IAD","BTV",7598
"JAX","MEM",7592
"EVV","ATL",7585
"SAV","ORD",7584
"CDV","ANC",7580
"HTS","PIT",7578
"MEM","JAX",7573
"DCA","MHT",7555
"AUS","EWR",7555
"PIT","HPN",7544
"MKE","BNA",7534
"IAD","BNA",7527
"MLU","DFW",7522
"HPN","PIT",7522
"OAK","IAH",7521
"TYS","DTW",7518
"CMH","CLE",7518
"MCO","HOU",7510
"IAH","OAK",7506
"HOU","MCO",7483
"JNU","YAK",7477
"EWR","AUS",7471
"RDU","PVD",7468
"ONT","SAN",7467
"ROA","BWI",7463
"DCA","PHX",7446
"MHT","DCA",7428
"JFK","PHL",7419
"YAK","CDV",7417
"PVD","RDU",7406
"DTW","PDX",7406
"PHX","DCA",7401
"ANC","CDV",7399
"CLE","CMH",7396
"CLE","MHT",7396
"SNA","PIT",7394
"PSP","SEA",7384
"SEA","PSP",7383
"PIT","SNA",7382
"DTW","BHM",7377
"ROA","PIT",7377
"PDX","DTW",7373
"PHL","JFK",7371
"BTR","MOB",7368
"GRR","CLE",7362
"CLE","GRR",7358
"SJC","SBA",7358
"BNA","PVD",7346
"AUS","HRL",7344
"DEN","MLI",7342
"HRL","AUS",7335
"SBA","SJC",7332
"AEX","IAH",7327
"MSO","GTF",7326
"IAH","AEX",7321
"PVD","BNA",7317
"WRG","KTN",7307
"DTW","SNA",7301
"SDF","LGA",7301
"RDU","ISP",7292
"SAV","CHS",7285
"CDV","YAK",7272
"LGB","SEA",7255
"PSG","JNU",7243
"GRR","DFW",7232
"RDU","GSP",7224
"ATL","HNL",7222
"HNL","ATL",7221
"ATL","AVP",7211
"ISP","RDU",7210
"SNA","DTW",7208
"MCO","SFO",7207
"BHM","DTW",7207
"SEA","LGB",7203
"DFW","GRR",7202
"SFO","MCO",7180
"AMA","IAH",7180
"PSG","WRG",7179
"PHX","DSM",7175
"IAH","AMA",7171
"ORD","SAV",7160
"KTN","WRG",7156
"VLD","ATL",7145
"ABE","CLT",7140
"DSM","PHX",7138
"FLL","PBI",7135
"MCO","DAY",7132
"IAH","HNL",7132
"MDW","BOS",7129
"BWI","ROA",7127
"CLT","ABE",7126
"MSP","MSO",7126
"DAY","MCO",7125
"BOS","MDW",7115
"HNL","IAH",7112
"GSP","EWR",7111
"CIC","SFO",7108
"EWR","GSP",7100
"SFO","CIC",7099
"WRG","PSG",7094
"LGA","SDF",7094
"MSO","MSP",7094
"GSO","MCO",7092
"YAK","JNU",7081
"ATL","VLD",7065
"SYR","IAD",7051
"LGA","RSW",7041
"GSP","RDU",7032
"EWR","ALB",7023
"FSD","RAP",7012
"STX","MIA",7006
"MCN","ATL",7004
"DSM","CVG",6993
"RDU","CHS",6981
"MDW","DCA",6981
"IAD","SYR",6970
"ALB","EWR",6959
"BDL","BNA",6957
"PSP","SLC",6957
"BNA","IAD",6952
"BNA","BDL",6948
"DAY","BWI",6945
"MHT","CVG",6937
"DCA","MDW",6932
"SLC","PSP",6931
"MCO","ABQ",6929
"ABQ","MCO",6926
"MEM","PIT",6910
"PIT","MEM",6906
"ROC","CLE",6901
"LFT","DFW",6899
"MCI","SAN",6897
"CVG","DSM",6892
"CVG","MHT",6879
"BWI","DAY",6878
"MCO","GSO",6878
"LAX","YUM",6873
"KOA","OGG",6872
"CLE","ROC",6869
"SAN","MCI",6869
"DFW","LFT",6868
"ATL","MCN",6860
"YUM","LAX",6859
"RSW","DCA",6859
"CHS","RDU",6858
"CLE","MSY",6849
"BQK","ATL",6845
"MSP","AZO",6836
"DTW","TYS",6834
"MSY","CLE",6826
"PIT","SWF",6815
"ATW","ORD",6812
"ORD","ATW",6806
"SJC","JFK",6806
"JFK","SJC",6803
"RDU","RSW",6799
"EWR","SDF",6795
"SWF","PIT",6795
"DCA","RSW",6786
"DAY","SDF",6784
"MSO","DEN",6755
"AZO","MSP",6755
"IAD","GSO",6732
"DEN","MSO",6731
"GSO","IAD",6730
"ELP","ATL",6725
"RIC","JFK",6701
"LGB","IAD",6699
"ATL","BQK",6697
"JFK","RIC",6696
"MEM","TUL",6692
"ATL","ELP",6681
"IAD","LGB",6669
"CVG","ABE",6666
"MEM","MOB",6656
"TYS","IAH",6646
"SDF","EWR",6630
"TUL","MEM",6629
"RDU","BUF",6619
"OTZ","OME",6617
"DFW","CAE",6611
"RAP","FSD",6610
"IAH","TYS",6609
"CLT","MHT",6604
"GEG","PHX",6604
"MHT","CLT",6580
"BOS","BTV",6569
"BDL","MIA",6564
"RSW","RDU",6562
"SLC","AUS",6561
"EWR","SAT",6560
"CAE","DFW",6559
"MIA","BDL",6556
"DAY","CLE",6555
"PHX","GEG",6547
"CLE","DAY",6542
"BTV","BOS",6540
"CVG","ATW",6538
"LAN","ORD",6524
"BUF","MSP",6520
"BUF","RDU",6493
"MSP","BUF",6490
"ATW","CVG",6487
"ORD","LAN",6484
"RDU","DAB",6482
"GEG","OAK",6476
"OAK","GEG",6455
"GTR","ATL",6445
"LNK","SUX",6439
"SAT","EWR",6438
"JFK","HOU",6437
"MOB","PNS",6422
"SBN","ORD",6419
"RDU","MEM",6414
"ORD","SBN",6387
"MEM","RDU",6375
"HOU","JFK",6370
"HSV","IAH",6360
"LAN","CVG",6359
"CLT","AGS",6356
"BNA","MOB",6338
"LIT","HOU",6336
"CVG","LAN",6321
"IAH","HSV",6316
"BIL","BZN",6314
"COS","CVG",6309
"ATL","GTR",6301
"TPA","GSO",6293
"PHL","LGA",6293
"MCI","SEA",6279
"SEA","MCI",6277
"RSW","MDW",6271
"CVG","COS",6270
"AGS","CLT",6262
"MDW","RSW",6248
"TPA","MHT",6244
"PIT","PHF",6237
"MHT","TPA",6236
"GSO","TPA",6233
"MOB","BNA",6231
"MSY","SFO",6229
"FLL","LAS",6224
"LAS","FLL",6212
"BTM","SLC",6210
"SAT","MCO",6206
"SLC","BTM",6206
"ABE","CVG",6204
"SFO","MSY",6200
"DEN","HDN",6194
"MCO","SAT",6191
"STL","DET",6181
"ORF","MCO",6178
"HDN","DEN",6175
"CHA","ORD",6162
"PHF","PIT",6157
"ORD","LGB",6154
"FAT","PHX",6141
"RDU","SYR",6138
"MEM","CMH",6128
"ORD","CHA",6126
"BZN","BIL",6119
"PHX","FAT",6114
"CVG","CRW",6113
"MCO","ORF",6107
"RDM","SFO",6099
"AZO","CVG",6089
"CID","CVG",6083
"LGA","SAV",6078
"SFO","RDM",6077
"LRD","IAH",6072
"CMH","MEM",6069
"IAH","LRD",6064
"CVG","CID",6058
"CVG","AZO",6045
"SUX","LNK",6033
"SAV","LGA",6032
"HOU","LIT",6030
"MCI","SFO",6017
"PIT","ABQ",6017
"RIC","IAH",6010
"IAH","RIC",6003
"PBI","ISP",5989
"DAB","RDU",5984
"DSM","OMA",5975
"ISP","PBI",5971
"CHS","SAV",5966
"LGB","ORD",5964
"EVV","CVG",5962
"ABQ","PIT",5961
"MOB","MEM",5956
"BOI","PHX",5953
"DEN","EGE",5948
"CVG","EVV",5945
"FWA","DFW",5943
"SFO","MCI",5937
"PHX","BOI",5936
"BNA","BTR",5931
"DFW","FWA",5922
"IYK","LAX",5909
"EGE","DEN",5906
"RDU","ALB",5905
"PIA","ATL",5904
"PWM","ALB",5894
"OMA","CVG",5889
"DSM","ATL",5888
"LAX","IYK",5888
"TUS","ATL",5880
"RDU","ROC",5867
"ATL","TUS",5867
"DET","STL",5864
"BNA","JAN",5856
"STL","SHV",5853
"CVG","OMA",5853
"BTR","BNA",5850
"SHV","STL",5846
"DFW","BFL",5838
"SEA","BLI",5833
"CMH","IAD",5829
"SAV","EWR",5826
"CHS","CVG",5817
"TPA","PNS",5815
"EWR","SAV",5814
"MEM","SHV",5809
"ALB","PWM",5804
"ATL","DSM",5801
"IAD","CMH",5800
"PNS","TPA",5788
"SEA","MIA",5788
"PDX","EWR",5785
"SYR","RDU",5783
"ALB","RDU",5783
"ABE","CLE",5779
"EWR","PDX",5778
"ATL","PIA",5777
"ROC","RDU",5776
"CLE","ABE",5773
"JAN","BNA",5773
"MIA","SEA",5772
"DTW","DSM",5761
"PHL","GSP",5756
"BWI","SAT",5748
"SAT","BWI",5746
"CRW","CVG",5744
"TYS","BNA",5740
